probe	shell_vol	solvent_vol	fsv
0	37083.875	8152.25	0.219833	../1FFY-rna.xyzr
0.1	37083.875	7293.125	0.196666	../1FFY-rna.xyzr
0.2	37083.875	6537.625	0.176293	../1FFY-rna.xyzr
0.3	37083.875	5896.75	0.159011	../1FFY-rna.xyzr
0.4	37083.875	5357	0.144456	../1FFY-rna.xyzr
0.5	37083.875	4876.5	0.131499	../1FFY-rna.xyzr
0.6	37083.875	5948.5	0.160407	../1FFY-rna.xyzr
0.7	37083.875	5434.75	0.146553	../1FFY-rna.xyzr
0.8	37083.875	5772.125	0.155651	../1FFY-rna.xyzr
0.9	37083.875	5653.875	0.152462	../1FFY-rna.xyzr
1	37083.875	5219.75	0.140755	../1FFY-rna.xyzr
1.1	37083.875	5097.875	0.137469	../1FFY-rna.xyzr
1.2	37083.875	5296.25	0.142818	../1FFY-rna.xyzr
1.3	37083.875	5203	0.140304	../1FFY-rna.xyzr
1.4	37083.875	4797.75	0.129376	../1FFY-rna.xyzr
1.5	37083.875	4671.25	0.125964	../1FFY-rna.xyzr
1.6	37083.875	4870	0.131324	../1FFY-rna.xyzr
1.7	37083.875	4629.75	0.124845	../1FFY-rna.xyzr
1.8	37083.875	4349.75	0.117295	../1FFY-rna.xyzr
1.9	37083.875	4491.375	0.121114	../1FFY-rna.xyzr
2	37083.875	4131.125	0.111399	../1FFY-rna.xyzr
2.1	37083.875	4194.875	0.113119	../1FFY-rna.xyzr
2.2	37083.875	4130.75	0.111389	../1FFY-rna.xyzr
2.3	37083.875	4077.5	0.109953	../1FFY-rna.xyzr
2.4	37083.875	3847.625	0.103755	../1FFY-rna.xyzr
2.5	37083.875	3647	0.0983446	../1FFY-rna.xyzr
2.6	37083.875	3763.875	0.101496	../1FFY-rna.xyzr
2.7	37083.875	3628.75	0.0978525	../1FFY-rna.xyzr
2.8	37083.875	3384.625	0.0912695	../1FFY-rna.xyzr
2.9	37083.875	3226.5	0.0870055	../1FFY-rna.xyzr
3	37083.875	3128.5	0.0843628	../1FFY-rna.xyzr
3.1	37083.875	3028.625	0.0816696	../1FFY-rna.xyzr
3.2	37083.875	2635.375	0.0710653	../1FFY-rna.xyzr
3.3	37083.875	2395.5	0.0645968	../1FFY-rna.xyzr
3.4	37083.875	2358.125	0.063589	../1FFY-rna.xyzr
3.5	37083.875	2167.75	0.0584553	../1FFY-rna.xyzr
3.6	37083.875	2074.625	0.0559441	../1FFY-rna.xyzr
3.7	37083.875	1994.875	0.0537936	../1FFY-rna.xyzr
3.8	37083.875	1927.125	0.0519667	../1FFY-rna.xyzr
3.9	37083.875	1874.625	0.0505509	../1FFY-rna.xyzr
4	37083.875	1815.625	0.04896	../1FFY-rna.xyzr
4.1	37083.875	1802.125	0.0485959	../1FFY-rna.xyzr
4.2	37083.875	1591.75	0.042923	../1FFY-rna.xyzr
4.3	37083.875	1530.375	0.0412679	../1FFY-rna.xyzr
4.4	37083.875	1535.375	0.0414028	../1FFY-rna.xyzr
4.5	37083.875	1352.5	0.0364714	../1FFY-rna.xyzr
4.6	37083.875	1141	0.0307681	../1FFY-rna.xyzr
4.7	37083.875	1050.625	0.028331	../1FFY-rna.xyzr
4.8	37083.875	847.875	0.0228637	../1FFY-rna.xyzr
4.9	37083.875	707.125	0.0190683	../1FFY-rna.xyzr
5	37083.875	0	0	../1FFY-rna.xyzr
5.1	37083.875	0	0	../1FFY-rna.xyzr
5.2	37083.875	0	0	../1FFY-rna.xyzr
5.3	37083.875	0	0	../1FFY-rna.xyzr
5.4	37083.875	0	0	../1FFY-rna.xyzr
5.5	37083.875	0	0	../1FFY-rna.xyzr
5.6	37083.875	0	0	../1FFY-rna.xyzr
5.7	37083.875	0	0	../1FFY-rna.xyzr
5.8	37083.875	0	0	../1FFY-rna.xyzr
5.9	37083.875	0	0	../1FFY-rna.xyzr
6	37083.875	0	0	../1FFY-rna.xyzr
6.1	37083.875	0	0	../1FFY-rna.xyzr
6.2	37083.875	0	0	../1FFY-rna.xyzr
6.3	37083.875	0	0	../1FFY-rna.xyzr
6.4	37083.875	0	0	../1FFY-rna.xyzr
6.5	37083.875	0	0	../1FFY-rna.xyzr
6.6	37083.875	0	0	../1FFY-rna.xyzr
6.7	37083.875	0	0	../1FFY-rna.xyzr
6.8	37083.875	0	0	../1FFY-rna.xyzr
6.9	37083.875	0	0	../1FFY-rna.xyzr
7	37083.875	0	0	../1FFY-rna.xyzr
7.1	37083.875	0	0	../1FFY-rna.xyzr
7.2	37083.875	0	0	../1FFY-rna.xyzr
7.3	37083.875	0	0	../1FFY-rna.xyzr
7.4	37083.875	0	0	../1FFY-rna.xyzr
7.5	37083.875	0	0	../1FFY-rna.xyzr
7.6	37083.875	0	0	../1FFY-rna.xyzr
7.7	37083.875	0	0	../1FFY-rna.xyzr
7.8	37083.875	0	0	../1FFY-rna.xyzr
7.9	37083.875	0	0	../1FFY-rna.xyzr
8	37083.875	0	0	../1FFY-rna.xyzr
8.1	37083.875	0	0	../1FFY-rna.xyzr
8.2	37083.875	0	0	../1FFY-rna.xyzr
8.3	37083.875	0	0	../1FFY-rna.xyzr
8.4	37083.875	0	0	../1FFY-rna.xyzr
8.5	37083.875	0	0	../1FFY-rna.xyzr
8.6	37083.875	0	0	../1FFY-rna.xyzr
8.7	37083.875	0	0	../1FFY-rna.xyzr
8.8	37083.875	0	0	../1FFY-rna.xyzr
8.9	37083.875	0	0	../1FFY-rna.xyzr
9	37083.875	0	0	../1FFY-rna.xyzr
9.1	37083.875	0	0	../1FFY-rna.xyzr
9.2	37083.875	0	0	../1FFY-rna.xyzr
9.3	37083.875	0	0	../1FFY-rna.xyzr
9.4	37083.875	0	0	../1FFY-rna.xyzr
9.5	37083.875	0	0	../1FFY-rna.xyzr
9.6	37083.875	0	0	../1FFY-rna.xyzr
9.7	37083.875	0	0	../1FFY-rna.xyzr
9.8	37083.875	0	0	../1FFY-rna.xyzr
9.9	37083.875	0	0	../1FFY-rna.xyzr
10	37083.875	0	0	../1FFY-rna.xyzr
